OBJECTID,AxeBrue_IDB_merged_140219_Snapped_OBJECTID,AxeBrue_IDB_merged_140219_Snapped_Water_leve,AxeBrue_IDB_merged_140219_Snapped_Grid_ref_,AxeBrue_IDB_merged_140219_Snapped_Owned_by,AxeBrue_IDB_merged_140219_Snapped_Operated_b,AxeBrue_IDB_merged_140219_Snapped_Watercours,AxeBrue_IDB_merged_140219_Snapped_Descriptio,AxeBrue_IDB_merged_140219_Snapped_X,AxeBrue_IDB_merged_140219_Snapped_Y,AxeBrue_IDB_merged_140219_Snapped_Lat,AxeBrue_IDB_merged_140219_Snapped_Long_,AxeBrue_IDB_merged_140219_Snapped_Source,AxeBrue_IDB_merged_140219_Snapped_Enabled,AxeBrue_IDB_merged_140219_Snapped_NEAR_FID,AxeBrue_IDB_merged_140219_Snapped_NEAR_DIST,AxeBrue_IDB_merged_140219_Snapped_NEAR_X,AxeBrue_IDB_merged_140219_Snapped_NEAR_Y,AxeBrue_IDB_merged_140219_Snapped_Dimensions,AxeBrue_IDB_merged_140219_Snapped_FID_1,AxeBrue_IDB_merged_140219_Snapped_Structure,AxeBrue_IDB_merged_140219_Snapped_structure_,AxeBrue_IDB_merged_140219_Snapped_Count_,AxeBrue_IDB_merged_140219_Snapped_AncillaryR,AxeBrue_IDB_merged_140219_Snapped_AncillaryRole,AxeBrue_IDB_merged_140219_Snapped_SnapDist,AxeBrue_IDB_merged_140219_Snapped_ForcedMove,AxeBrue_IDB_merged_140219_Snapped_SnapQual,AxeBrue_IDB_merged_140219_Snapped_SrchName,AxeBrue_IDB_merged_140219_Snapped_Reach,AxeBrueIDB_Sum_Output_OBJECTID,AxeBrueIDB_Sum_Output_FREQUENCY,AxeBrueIDB_Sum_Output_SiteID,DistFromLn,DistAlngLn,USLength,SUM_USLength,AvailDSNet
143,143,,,,,,,338396,142719,,,AxeBrueIDB_structures+N,1,487,58.57471249,338407.974,142776.3378,,39,C08,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,141,4,143,2.59666E-05,0.263194114,61696.88281,54841.19507,6855.687744
229,229,,,,,,,350598,145432,,,AxeBrueIDB_structures+N,1,444,0.26920445,350597.9963,145431.7308,,125,UA09,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,11221,221,2,229,2.09774E-05,0.258192092,6835.103516,0,6835.103516
339,339,,,,,,,346550,141258,,,AxeBrueIDB_structures+N,1,1084,4.945702079,346553.7044,141261.2768,,235,UB92,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,11221,328,7,339,2.8841E-06,0.390756845,42347.29297,35522.90234,6824.390625
126,126,,,,,,,331411,154785,,,AxeBrueIDB_structures+N,1,66,0.557572785,331411.1808,154784.4726,,22,BB05,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,124,2,126,4.30562E-05,0.004525545,6695.137695,21.04624176,6674.091454
431,431,,,,,,,340852,140217,,,AxeBrueIDB_structures+N,1,389,0.184284279,340851.9655,140216.819,,327,UB107,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,420,6,431,2.56286E-05,0.971661627,6069.465332,0,6069.465332
217,217,,,,,,,336950,145317,,,AxeBrueIDB_structures+N,1,1081,219.251454,336926.7187,145098.9881,,113,M23,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,210,2,217,1.68069E-05,0.499517024,144914,139969.1211,4944.878906
131,131,,,,,,,331766,155323,,,AxeBrueIDB_structures+N,1,102,0.090838971,331765.9174,155322.9623,,27,BK01,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,129,1,131,4.22205E-05,0.632137537,4897.485352,0,4897.485352
290,290,,,,,,,352014,141021,,,AxeBrueIDB_structures+N,1,1132,2.719223607,352011.2936,141021.2639,,186,UB42,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,281,10,290,1.23461E-05,0.464080602,9201.726563,4345.583267,4856.143295
94,94,Moggs Rhyne Godney Outfall, ,UB IDB,UB IDB,Moggs Rhyne Godney Division Rhyne,Culverted outfall,348220,142090,51.175689,-2.7420904,North Drain,1,1069,2.662270119,348220.5902,142087.404,Headwall on culvert outfall.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,92,7,94,2.69276E-05,0.486910701,34153.32813,29416.09302,4737.235107
248,248,,,,,,,343718,152185,,,AxeBrueIDB_structures+N,1,1027,4.784278225,343717.911,152180.2166,,144,UA28,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,11221,240,1,248,4.96543E-05,0.628552556,5019.471191,448.7309265,4570.740265
60,60,Hackness Sluice, ,EA,EA,River Brue,Large penstock,333230,146210,51.211174,-2.9572606,North Drain,1,1080,2.841718426,333230.9124,146212.6913,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,60,1,60,3.62161E-05,0.89337039,151180.5938,146682.8081,4497.785645
288,288,,,,,,,351334,141214,,,AxeBrueIDB_structures+N,1,353,1.429452277,351332.6115,141214.3397,,184,UB40,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,279,10,288,1.91332E-06,0.481297702,4496.53418,0,4496.53418
67,67,Tealham RWLA S3, ,EA,EA,Non Main River,Penning boards,341250,145440,51.205134,-2.8423342,North Drain,1,1127,21.66206467,341255.7618,145460.8817,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,67,9,67,3.02763E-05,0.932264626,8289.193359,4156.819824,4132.373535
128,128,,,,,,,330774,156147,,,AxeBrueIDB_structures+N,1,259,1.103456628,330774.6418,156147.8976,,24,BB07,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,126,1,128,1.06623E-05,0.089081489,3926.655518,0,3926.655518
198,198,,,,,,,337607,148313,,,AxeBrueIDB_structures+N,1,372,3.563179127,337603.6362,148311.8248,,94,M02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,192,1,198,0,1,3970.031006,219.7921448,3750.238861
188,188,,,,,,,336241,143295,,,AxeBrueIDB_structures+N,1,1051,101.3402727,336213.5894,143197.4371,,84,H36,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,182,2,188,4.72592E-05,0.192814216,65313.60156,61750.07031,3563.53125
226,226,,,,,,,347959,147052,,,AxeBrueIDB_structures+N,1,704,1.720846564,347960.6996,147052.2695,,122,UA06,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,218,1,226,1.23463E-05,0.966998339,3379.075195,0,3379.075195
427,427,,,,,,,346311,144746,,,AxeBrueIDB_structures+N,1,1127,8.017729053,346312.2277,144753.9232,,323,UB106,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,416,12,427,2.28443E-05,0.229701847,3111.663818,0,3111.663818
98,98,Pits Rhyne Outfall, ,UB IDB,UB IDB,Pits Rhyne,Tilting weir,346380,142030,51.17498,-2.7684001,North Drain,1,139,5.173352718,346384.8431,142031.8188,Penning boards on upstream end of culvert lifted manually by climbing down watercourse bank. Downstream flap valve chain-operated by ground-mounted lever.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,96,3,98,7.02688E-06,0.988870442,3232.565186,216.4477692,3016.117416
262,262,,,,,,,347183,144464,,,AxeBrueIDB_structures+N,1,194,2.03356121,347184.9226,144463.3375,,158,UB13,Stoplogs,1,,,0,N,"Nearest Polyline, no name check",n/a,11221,254,1,262,1.82398E-05,0.944918633,3702.200195,862.2162476,2839.983948
119,119,,,,,,,337901,154873,,,AxeBrueIDB_structures+N,1,135,0.007246647,337901.0067,154872.9973,,15,BA02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,117,1,119,2.315E-05,0.993297577,2788.936035,0,2788.936035
220,220,,,,,,,336737,147390,,,AxeBrueIDB_structures+N,1,409,153.004187,336662.2985,147256.4711,,116,M26,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,213,1,220,0,0.946067631,2755.766846,0.055114619,2755.711731
272,272,,,,,,,349303,144158,,,AxeBrueIDB_structures+N,1,990,4.891315325,349307.8513,144158.6246,,168,UB23,Valve (Inlet),1,,,0,N,"Nearest Polyline, no name check",n/a,11221,263,14,272,3.24557E-05,0.043356456,14819.82617,12147.48535,2672.34082
287,287,,,,,,,354464,139928,,,AxeBrueIDB_structures+N,1,407,1.192140711,354463.9853,139929.1921,,183,UB39,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,278,1,287,4.99175E-05,0.736219108,4122.456055,1490.123077,2632.332977
211,211,,,,,,,338006,145206,,,AxeBrueIDB_structures+N,1,1130,18.22455348,338017.7035,145192.03,,107,M17,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,204,3,211,4.21796E-05,0.996359825,13801.66699,11383.90527,2417.761719
80,80,W04, ,LBIDB,LBIDB,Private ditch,Trench Sheet Dam,339850,145180,51.20265,-2.8623278,North Drain,1,1126,191.8652119,340039.1326,145147.7337,Potential feed to western end of plan area.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,80,7,80,1.31466E-05,0.768928826,12701.25684,10570.44275,2130.814087
284,284,,,,,,,353048,140195,,,AxeBrueIDB_structures+N,1,401,0.936114355,353048.8154,140195.4599,,180,UB36,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,275,1,284,4.01026E-05,0.459302902,2098.006348,0,2098.006348
114,114,,,,,,,334294,147797,,,AxeBrueIDB_structures+N,1,59,0.760069668,334293.561,147797.6205,,10,B08,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,112,1,114,9.94549E-06,0.996924698,2056.572021,0,2056.572021
242,242,,,,,,,342375,152373,,,AxeBrueIDB_structures+N,1,346,0.61586234,342375.5487,152373.2796,,138,UA22,Penstock,0,,,4.578999996,N,"Nearest Polyline, no name check",n/a,11221,234,1,242,1.7743E-05,0.980222881,2001.072876,0,2001.072876
411,411,,,,,,,333039,150549,,,AxeBrueIDB_structures+N,1,308,4.301246841,333037.0626,150545.1598,,307,BK03,Spillway,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,400,1,411,8.08544E-06,0.461325526,2000.460449,0,2000.460449
162,162,,,,,,,331946,146051,,,AxeBrueIDB_structures+N,1,310,0.337696058,331946.159,146051.2979,,58,H03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,160,1,162,1.9574E-05,0.914711952,1986.338013,0,1986.338013
28,28,Pons Perilis Bridge Weir, ,EA,EA,River Brue,Stone / boulder weir,348700,137770,0,51.136891,South Drain,1,393,58.22701065,346361.5851,137168.4605,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,28,1,28,1.40039E-05,0.74308008,1966.395996,0,1966.395996
52,52,Sharpham Road Feed Valve, ,Private,Private,Sharpham Road Rhyne,Valved feed pipe,346910,138700,0,51.145089,South Drain,1,393,58.22701065,346361.5851,137168.4605,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,52,1,52,1.40039E-05,0.74308008,1966.395996,0,1966.395996
317,317,,,,,,,349032,141184,,,AxeBrueIDB_structures+N,1,75,0.737215312,349031.3314,141183.6894,,213,UB70,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,307,4,317,8.07553E-06,0.563250959,2514.835449,557.6719399,1957.163509
132,132,,,,,,,331628,150629,,,AxeBrueIDB_structures+N,1,6,0.42464533,331628.295,150629.3054,,28,BK02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,130,1,132,3.47315E-05,0.992585599,1941.942139,0,1941.942139
212,212,,,,,,,339257,145972,,,AxeBrueIDB_structures+N,1,399,1.691818646,339257.8728,145970.5507,,108,M18,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,205,1,212,0,1,1930.209717,0,1930.209717
281,281,,,,,,,350815,143466,,,AxeBrueIDB_structures+N,1,162,0.809701032,350814.8332,143466.7923,,177,UB32,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,272,1,281,3.34895E-05,0.786881864,1922.809692,0,1922.809692
357,357,,,,,,,340895,144337,,,AxeBrueIDB_structures+N,1,1083,7.864513109,340892.4454,144329.5619,,253,W18,Valve (Inlet),2,,,0,N,"Nearest Polyline, no name check",n/a,11221,346,3,357,2.91399E-05,0.770366728,113111.2656,111290.2734,1820.992187
108,108,,,,,,,331426,150486,,,AxeBrueIDB_structures+N,1,308,1.346653808,331425.5713,150487.2766,,4,B02,Bund,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,106,1,108,5.48365E-06,0.866582215,3757.78833,2000.460449,1757.327881
270,270,,,,,,,346346,144770,,,AxeBrueIDB_structures+N,1,374,0.812141275,346345.2208,144770.2288,,166,UB21,Tilting Weir,1,,,0,N,"Nearest Polyline, no name check",n/a,11221,262,1,270,4.39417E-05,0.970646381,1715.561401,10.35623455,1705.205167
218,218,,,,,,,336266,145627,,,AxeBrueIDB_structures+N,1,136,1.136661842,336265.4711,145625.9939,,114,M24,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,211,2,218,1.21924E-05,0.633591592,1670.047852,0,1670.047852
180,180,,,,,,,336300,144613,,,AxeBrueIDB_structures+N,1,723,158.7527465,336416.4205,144720.9291,,76,H26,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,176,1,180,3.48993E-05,0.713989854,1638.089355,0,1638.089355
261,261,,,,,,,344458,143146,,,AxeBrueIDB_structures+N,1,74,0.339906331,344458.3351,143145.943,,157,UB12,Stoplogs,2,,,0,N,"Nearest Polyline, no name check",n/a,11221,253,1,261,6.90588E-06,0.73289454,1594.067749,0,1594.067749
135,135,,,,,,,332409,156394,,,AxeBrueIDB_structures+N,1,358,4.464111803,332410.2358,156398.2896,,31,BL05,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,133,1,135,4.75338E-05,0.663167179,1597.498047,20.83333015,1576.664717
237,237,,,,,,,344330,151187,,,AxeBrueIDB_structures+N,1,306,0.694514974,344330.5064,151186.5247,,133,UA17,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,229,1,237,0,0.884250104,1906.588501,333.6089478,1572.979553
423,423,,,,,,,344822,143179,,,AxeBrueIDB_structures+N,1,416,0.319467207,344821.9457,143179.3148,,319,UB101,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,412,7,423,1.84183E-05,0.005257463,2337.82251,790.5838623,1547.238647
246,246,,,,,,,346043,152975,,,AxeBrueIDB_structures+N,1,272,182.5485852,346123.4132,152811.1168,,142,UA26,Penstock,0,,,11.39700031,Y,"Nearest Polyline, no name check",n/a,11221,238,1,246,2.32204E-05,0.909699976,1546.056274,0,1546.056274
134,134,,,,,,,331457,156449,,,AxeBrueIDB_structures+N,1,50,1.49459691,331457.6807,156450.3306,,30,BL04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,132,2,134,9.67496E-06,0.732978165,1535.253418,0,1535.253418
358,358,,,,,,,341418,145858,,,AxeBrueIDB_structures+N,1,677,10.06435922,341418.8188,145868.031,,254,W19,Bund,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,347,9,358,3.37577E-06,0.250686347,1523.796143,0,1523.796143
245,245,,,,,,,343020,152617,,,AxeBrueIDB_structures+N,1,795,0.056873381,343019.9774,152617.0522,,141,UA25,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,237,1,245,8.9526E-06,0.992529452,1521.521362,0,1521.521362
176,176,,,,,,,333028,146493,,,AxeBrueIDB_structures+N,1,386,0.204717278,333028.0835,146492.8131,,72,H22,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,172,1,176,1.29545E-05,0.984119534,1462.861572,0,1462.861572
214,214,,,,,,,339233,147186,,,AxeBrueIDB_structures+N,1,351,0.941194334,339233.1291,147186.9323,,110,M20,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,207,2,214,1.76371E-06,0.631436229,1454.236938,0,1454.236938
2,2,Highbridge Clyse, ,Private,Private,River Brue,Two vertical lifting gates and two tidal,331350,147240,0,51.220211,South Drain,1,371,157.6444455,330720.7467,146633.6801,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,2,1,2,0,0.5781129,1437.608398,0,1437.608398
5,5,Huntspill Sluice, ,EA,EA,Huntspill River,"Two pairs of vertical
lifting gates",329260,145730,0,51.20638,South Drain,1,371,157.6444455,330720.7467,146633.6801,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,5,1,5,0,0.5781129,1437.608398,0,1437.608398
9,9,Sloway Lane Pumping Station, ,EA,EA,Huntspill River,Pumping Station,330230,145130,0,51.201105,South Drain,1,371,157.6444455,330720.7467,146633.6801,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,9,1,9,0,0.5781129,1437.608398,0,1437.608398
313,313,,,,,,,347194,142785,,,AxeBrueIDB_structures+N,1,254,1.847793432,347192.2382,142784.4429,,209,UB65,Penstock,2,,,0,N,"Nearest Polyline, no name check",n/a,11221,303,1,313,1.10704E-05,0.009724429,1693.064697,261.0421753,1432.022522
380,380,,,,,,,337148,141595,,,AxeBrueIDB_structures+N,1,322,2.388803394,337148.5783,141597.3178,,276,XC13,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,369,1,380,5.15058E-05,0.202930421,1425.939087,0,1425.939087
179,179,,,,,,,336013,142316,,,AxeBrueIDB_structures+N,1,382,0.29360298,336012.925,142315.7161,,75,H25,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,175,1,179,3.661E-05,0.69349283,2253.555176,830.2225342,1423.332642
320,320,,,,,,,349954,141435,,,AxeBrueIDB_structures+N,1,510,12.17662793,349952.3451,141447.0636,,216,UB73,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,310,8,320,4.63493E-05,0.993866801,29297.77539,27910.47852,1387.296875
195,195,,,,,,,332917,155818,,,AxeBrueIDB_structures+N,1,299,0.337366451,332917.2871,155818.1772,,91,LY03,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,189,1,195,1.50087E-05,0.958337843,1381.396729,0,1381.396729
241,241,,,,,,,343094,152110,,,AxeBrueIDB_structures+N,1,346,1.688826959,343095.6805,152110.1675,,137,UA21,Penstock,0,,,0.149000004,Y,"Nearest Polyline, no name check",n/a,11221,233,1,241,3.77425E-05,0.010001387,1360.606934,0,1360.606934
164,164,,,,,,,331959,146064,,,AxeBrueIDB_structures+N,1,371,0.190693339,331959.0921,146064.167,,60,H06,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,162,6,164,1.95575E-05,0.981933832,1387.41272,36.88251495,1350.530205
238,238,,,,,,,344152,150671,,,AxeBrueIDB_structures+N,1,99,0.145408632,344151.9023,150671.1077,,134,UA18,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,230,1,238,3.12664E-06,0.999493301,1348.002441,0,1348.002441
416,416,,,,,,,347318,141374,,,AxeBrueIDB_structures+N,1,303,0.054389196,347318.0146,141374.0524,,312,UB95,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,405,1,416,6.74794E-06,0.634491742,1341.832764,0,1341.832764
93,93,Moggs Rhyne Crannel Inlet, ,UB IDB,UB IDB,Moggs Rhyne Crannel River Sheppy,Disk valve,349150,142790,51.182067,-2.7288873,North Drain,1,990,9.788585771,349148.6173,142799.6904, ,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,91,10,93,3.57528E-05,0.466644943,16527.25586,15225.13672,1302.119141
377,377,,,,,,,340931,140601,,,AxeBrueIDB_structures+N,1,170,3.330312128,340929.9333,140597.8452,,273,XC10,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,366,1,377,3.96399E-05,0.992112696,1288.888062,0,1288.888062
196,196,,,,,,,333269,156338,,,AxeBrueIDB_structures+N,1,305,1.017236193,333268.6909,156338.9691,,92,LY04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,190,1,196,3.53194E-05,0.754888713,1288.262329,0,1288.262329
315,315,,,,,,,349821,140075,,,AxeBrueIDB_structures+N,1,49,4.394839512,349818.471,140078.5943,,211,UB68,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,305,1,315,2.49332E-05,0.51168257,1271.72522,0,1271.72522
428,428,,,,,,,334139,142531,,,AxeBrueIDB_structures+N,1,168,0.307278654,334138.6928,142531.0067,,324,H43,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,417,1,428,5.60078E-06,0.122314773,1250.894287,0,1250.894287
113,113,,,,,,,332263,148393,,,AxeBrueIDB_structures+N,1,313,4.567192326,332258.5722,148391.8803,,9,B07,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,111,2,113,2.83161E-05,0.005674451,1233.984985,0,1233.984985
107,107,,,,,,,341148,154551,,,AxeBrueIDB_structures+N,1,44,2.617027018,341150.1923,154549.5708,,3,AX04,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,105,1,107,7.35119E-06,0.83136034,1233.960815,0,1233.960815
81,81,Browns Bank, ,UB IDB,UB IDB,Butter Ditch Godney Middle Rhyne,Syphon with upstream inlet,347980,142760,51.181692,-2.7456205,North Drain,1,990,10.85797175,347979.7652,142770.8554,Inverted syphon under River Sheppy with inlet penstock from Butter Ditch and secondary inlet from river on downstream side of siphon. Outfall culvert under public highway to G M Rhyne.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,81,9,81,3.58024E-05,0.77021879,17751.78906,16527.25586,1224.533203
299,299,,,,,,,350884,136549,,,AxeBrueIDB_structures+N,1,363,0.509840542,350884.2547,136549.4417,,195,UB51,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,290,2,299,3.29508E-05,0.67103982,1409.991577,207.9332733,1202.058304
149,149,,,,,,,339426,142427,,,AxeBrueIDB_structures+N,1,122,1.644231945,339425.932,142425.3572,,45,C14,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,147,1,149,2.51948E-05,0.999274075,1192.262329,0,1192.262329
106,106,,,,,,,340059,153992,,,AxeBrueIDB_structures+N,1,819,0.526040841,340058.5555,153991.7187,,2,AX03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,104,1,106,8.57981E-06,0.986931324,1185.255249,0,1185.255249
150,150,,,,,,,339009,141916,,,AxeBrueIDB_structures+N,1,329,29.09867285,339037.34,141909.3987,,46,C15,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,148,1,150,0,0.920594633,1171.398193,0,1171.398193
250,250,,,,,,,349868,141200,,,AxeBrueIDB_structures+N,1,49,6.576426386,349874.483,141198.8953,,146,UB02,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,242,1,250,2.03056E-05,0.981490493,2439.375977,1271.72522,1167.650757
221,221,,,,,,,345525,147541,,,AxeBrueIDB_structures+N,1,185,0.496033004,345525.1909,147541.4578,,117,UA01,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,214,1,221,2.52941E-05,0.795292675,1148.246826,0,1148.246826
